Week,Price,Sales,Remaining Inventory,Run,Your Revenue,Perfect Revenue,Difference (%)
15,48,0,0,30,98088,106986,8.3
1,60,64,1936,31,83016,87540,5.2
2,54,52,1884,31,83016,87540,5.2
3,48,136,1748,31,83016,87540,5.2
4,48,150,1598,31,83016,87540,5.2
5,48,94,1504,31,83016,87540,5.2
6,48,120,1384,31,83016,87540,5.2
7,48,149,1235,31,83016,87540,5.2
8,48,91,1144,31,83016,87540,5.2
9,48,159,985,31,83016,87540,5.2
10,48,151,834,31,83016,87540,5.2
11,48,117,717,31,83016,87540,5.2
12,48,102,615,31,83016,87540,5.2
13,48,96,519,31,83016,87540,5.2
14,48,118,401,31,83016,87540,5.2
15,48,108,293,31,83016,87540,5.2
1,60,133,1867,32,98880,120000,17.6
2,54,214,1653,32,98880,120000,17.6
3,48,179,1474,32,98880,120000,17.6
4,48,208,1266,32,98880,120000,17.6
5,48,197,1069,32,98880,120000,17.6
6,48,302,767,32,98880,120000,17.6
7,48,276,491,32,98880,120000,17.6
8,48,143,348,32,98880,120000,17.6
9,48,204,144,32,98880,120000,17.6
10,48,144,0,32,98880,120000,17.6
11,48,0,0,32,98880,120000,17.6
12,48,0,0,32,98880,120000,17.6
13,48,0,0,32,98880,120000,17.6
14,48,0,0,32,98880,120000,17.6
15,48,0,0,32,98880,120000,17.6
1,60,77,1923,33,85860,89736,4.3
2,54,100,1823,33,85860,89736,4.3
3,48,36,1787,33,85860,89736,4.3
4,48,138,1649,33,85860,89736,4.3
5,48,95,1554,33,85860,89736,4.3
6,48,151,1403,33,85860,89736,4.3
7,48,140,1263,33,85860,89736,4.3
8,48,129,1134,33,85860,89736,4.3
9,48,140,994,33,85860,89736,4.3
10,48,192,802,33,85860,89736,4.3
11,48,168,634,33,85860,89736,4.3
12,48,165,469,33,85860,89736,4.3
13,48,83,386,33,85860,89736,4.3
14,48,25,361,33,85860,89736,4.3
15,48,118,243,33,85860,89736,4.3
1,60,80,1920,34,97698,97698,0.0
2,54,123,1797,34,97698,97698,0.0
3,48,77,1720,34,97698,97698,0.0
4,48,140,1580,34,97698,97698,0.0
5,48,133,1447,34,97698,97698,0.0
6,48,150,1297,34,97698,97698,0.0
7,48,114,1183,34,97698,97698,0.0
8,48,180,1003,34,97698,97698,0.0
9,48,132,871,34,97698,97698,0.0
10,48,132,739,34,97698,97698,0.0
11,48,135,604,34,97698,97698,0.0
12,48,182,422,34,97698,97698,0.0
13,48,106,316,34,97698,97698,0.0
14,48,158,158,34,97698,97698,0.0
15,48,158,0,34,97698,97698,0.0
1,60,123,1877,35,98664,117132,15.8
2,54,198,1679,35,98664,117132,15.8
3,48,283,1396,35,98664,117132,15.8
4,48,186,1210,35,98664,117132,15.8
5,48,233,977,35,98664,117132,15.8
6,48,253,724,35,98664,117132,15.8
7,48,191,533,35,98664,117132,15.8
8,48,209,324,35,98664,117132,15.8
9,48,189,135,35,98664,117132,15.8
10,48,135,0,35,98664,117132,15.8
11,48,0,0,35,98664,117132,15.8
12,48,0,0,35,98664,117132,15.8
13,48,0,0,35,98664,117132,15.8
14,48,0,0,35,98664,117132,15.8
15,48,0,0,35,98664,117132,15.8
1,60,35,1965,36,47520,57036,16.7
2,54,34,1931,36,47520,57036,16.7
3,48,42,1889,36,47520,57036,16.7
4,48,76,1813,36,47520,57036,16.7
5,48,65,1748,36,47520,57036,16.7
6,48,82,1666,36,47520,57036,16.7
7,48,77,1589,36,47520,57036,16.7
8,48,61,1528,36,47520,57036,16.7
9,48,78,1450,36,47520,57036,16.7
10,48,56,1394,36,47520,57036,16.7
11,48,50,1344,36,47520,57036,16.7
12,48,100,1244,36,47520,57036,16.7
13,48,88,1156,36,47520,57036,16.7
14,48,80,1076,36,47520,57036,16.7
15,48,53,1023,36,47520,57036,16.7
1,60,113,1887,37,98280,118806,17.3
2,54,154,1733,37,98280,118806,17.3
3,48,258,1475,37,98280,118806,17.3
4,48,204,1271,37,98280,118806,17.3
5,48,263,1008,37,98280,118806,17.3
6,48,250,758,37,98280,118806,17.3
7,48,224,534,37,98280,118806,17.3
8,48,242,292,37,98280,118806,17.3
9,48,251,41,37,98280,118806,17.3
10,48,41,0,37,98280,118806,17.3
11,48,0,0,37,98280,118806,17.3
12,48,0,0,37,98280,118806,17.3
13,48,0,0,37,98280,118806,17.3
14,48,0,0,37,98280,118806,17.3
15,48,0,0,37,98280,118806,17.3
1,60,76,1924,38,97662,99144,1.5
2,54,125,1799,38,97662,99144,1.5
3,48,158,1641,38,97662,99144,1.5
4,48,123,1518,38,97662,99144,1.5
5,48,141,1377,38,97662,99144,1.5
6,48,171,1206,38,97662,99144,1.5
7,48,103,1103,38,97662,99144,1.5
8,48,125,978,38,97662,99144,1.5
9,48,156,822,38,97662,99144,1.5
10,48,185,637,38,97662,99144,1.5
11,48,170,467,38,97662,99144,1.5
12,48,90,377,38,97662,99144,1.5
13,48,147,230,38,97662,99144,1.5
14,48,144,86,38,97662,99144,1.5
15,48,86,0,38,97662,99144,1.5
1,60,41,1959,39,52566,63552,17.3
2,54,79,1880,39,52566,63552,17.3
3,48,111,1769,39,52566,63552,17.3
4,48,84,1685,39,52566,63552,17.3
5,48,49,1636,39,52566,63552,17.3
6,48,67,1569,39,52566,63552,17.3
7,48,68,1501,39,52566,63552,17.3
8,48,71,1430,39,52566,63552,17.3
9,48,72,1358,39,52566,63552,17.3
10,48,54,1304,39,52566,63552,17.3
11,48,43,1261,39,52566,63552,17.3
12,48,67,1194,39,52566,63552,17.3
13,48,96,1098,39,52566,63552,17.3
14,48,120,978,39,52566,63552,17.3
15,48,53,925,39,52566,63552,17.3
1,60,81,1919,40,92424,94728,2.4
2,54,122,1797,40,92424,94728,2.4
3,48,120,1677,40,92424,94728,2.4
4,48,93,1584,40,92424,94728,2.4
5,48,110,1474,40,92424,94728,2.4
6,48,127,1347,40,92424,94728,2.4
7,48,106,1241,40,92424,94728,2.4
8,48,132,1109,40,92424,94728,2.4
9,48,182,927,40,92424,94728,2.4
10,48,201,726,40,92424,94728,2.4
11,48,194,532,40,92424,94728,2.4
12,48,104,428,40,92424,94728,2.4
13,48,44,384,40,92424,94728,2.4
14,48,170,214,40,92424,94728,2.4
15,48,104,110,40,92424,94728,2.4
1,60,89,1911,41,97944,100704,2.7
2,54,146,1765,41,97944,100704,2.7
3,48,184,1581,41,97944,100704,2.7
4,48,126,1455,41,97944,100704,2.7
5,48,143,1312,41,97944,100704,2.7
6,48,167,1145,41,97944,100704,2.7
7,48,188,957,41,97944,100704,2.7
8,48,150,807,41,97944,100704,2.7
9,48,183,624,41,97944,100704,2.7
10,48,139,485,41,97944,100704,2.7
11,48,156,329,41,97944,100704,2.7
12,48,167,162,41,97944,100704,2.7
13,48,26,136,41,97944,100704,2.7
14,48,136,0,41,97944,100704,2.7
15,48,0,0,41,97944,100704,2.7
1,60,69,1931,42,90456,92700,2.4
2,54,82,1849,42,90456,92700,2.4
3,48,164,1685,42,90456,92700,2.4
4,48,198,1487,42,90456,92700,2.4
5,48,126,1361,42,90456,92700,2.4
6,48,155,1206,42,90456,92700,2.4
7,48,44,1162,42,90456,92700,2.4
8,48,93,1069,42,90456,92700,2.4
9,48,130,939,42,90456,92700,2.4
10,48,130,809,42,90456,92700,2.4
11,48,120,689,42,90456,92700,2.4
12,48,137,552,42,90456,92700,2.4
13,48,89,463,42,90456,92700,2.4
14,48,183,280,42,90456,92700,2.4
15,48,137,143,42,90456,92700,2.4
1,60,95,1905,43,97548,102936,5.2
2,54,68,1837,43,97548,102936,5.2
3,48,172,1665,43,97548,102936,5.2
4,48,207,1458,43,97548,102936,5.2
5,48,102,1356,43,97548,102936,5.2
6,48,189,1167,43,97548,102936,5.2
7,48,284,883,43,97548,102936,5.2
8,48,65,818,43,97548,102936,5.2
9,48,140,678,43,97548,102936,5.2
10,48,160,518,43,97548,102936,5.2
11,48,216,302,43,97548,102936,5.2
12,48,153,149,43,97548,102936,5.2
13,48,136,13,43,97548,102936,5.2
14,48,13,0,43,97548,102936,5.2
15,48,0,0,43,97548,102936,5.2
1,60,105,1895,44,97986,108630,9.8
2,54,121,1774,44,97986,108630,9.8
3,48,222,1552,44,97986,108630,9.8
4,48,168,1384,44,97986,108630,9.8
5,48,94,1290,44,97986,108630,9.8
6,48,200,1090,44,97986,108630,9.8
7,48,273,817,44,97986,108630,9.8
8,48,147,670,44,97986,108630,9.8
9,48,278,392,44,97986,108630,9.8
10,48,248,144,44,97986,108630,9.8
11,48,53,91,44,97986,108630,9.8
12,48,91,0,44,97986,108630,9.8
13,48,0,0,44,97986,108630,9.8
14,48,0,0,44,97986,108630,9.8
15,48,0,0,44,97986,108630,9.8
1,60,82,1918,45,95406,96984,1.6
2,54,153,1765,45,95406,96984,1.6
3,48,177,1588,45,95406,96984,1.6
4,48,53,1535,45,95406,96984,1.6
5,48,152,1383,45,95406,96984,1.6
6,48,79,1304,45,95406,96984,1.6
7,48,60,1244,45,95406,96984,1.6
8,48,146,1098,45,95406,96984,1.6
9,48,182,916,45,95406,96984,1.6
10,48,135,781,45,95406,96984,1.6
11,48,133,648,45,95406,96984,1.6
12,48,104,544,45,95406,96984,1.6
13,48,199,345,45,95406,96984,1.6
14,48,139,206,45,95406,96984,1.6
